商品名称,商品编号,商品品牌,市场售价,本店售价,积分购买额度,商品原始图,商品图片,商品缩略图,商品关键词,简单描述,详细描述,商品重量（kg）,库存数量,库存警告数量,是否精品,是否新品,是否热销,是否上架,能否作为普通商品销售,是否实体商品,图片列表,商品分类,商品类型名,商品类型属性列表,商品属性列表
A2 Platinum 白金高端婴儿奶粉3段,ECS000169,Nutrition A2,348,225,2,images/201409/source_img/12_G_14114315446071.jpg,images/201409/goods_img/12_G_14114301771996.jpg,,奶粉 A2 Platinum A2 白金 高端 3段,奶粉 A2 Platinum A2 白金 高端 3段,"<P><IMG src=""images/upload/Image/20140923201034290_10054051.jpg""><IMG src=""images/upload/Image/20140923201034303_49476843.jpg""><IMG src=""images/upload/Image/20140923201034313_64424172.jpg""><IMG src=""images/upload/Image/20140923201034323_51090655.jpg""></P>",0.9,1,1,0,0,1,1,1,1,,,,,
可瑞康 Karicare 普通装 1段,ECS000170,纽迪希亚 Nutricia,348,225,2,images/201409/source_img/13_G_14114362905935.jpg,images/201409/goods_img/13_G_14114373692653.jpg,,奶粉 可瑞康 Karicare 普通装 1段,奶粉 可瑞康 Karicare 普通装 1段,"<P><IMG src=""images/upload/Image/20140923201456444_41050710.jpg""><IMG src=""images/upload/Image/20140923201456458_33852243.jpg""><IMG src=""images/upload/Image/20140923201456475_89174185.jpg""><IMG src=""images/upload/Image/20140923201456485_9565891.jpg""><IMG src=""images/upload/Image/20140923201456497_66198383.jpg""><IMG src=""images/upload/Image/20140923201456507_49272164.jpg""><IMG src=""images/upload/Image/20140923201456517_20209775.jpg""><IMG src=""images/upload/Image/20140923201456528_74359548.jpg""><IMG src=""images/upload/Image/20140923201456539_89567076.jpg""><IMG src=""images/upload/Image/20140923201456548_7996459.jpg""><IMG src=""images/upload/Image/20140923201456557_90283588.jpg""></P>",0.9,1,1,0,0,1,1,1,1,,,,,
可瑞康 Karicare 普通装 2段,ECS000171,纽迪希亚 Nutricia,228,189,1,images/201409/source_img/14_G_14114355753280.jpg,images/201409/goods_img/14_G_14114363928458.jpg,,奶粉 可瑞康 Karicare 普通装 2段,奶粉 可瑞康 Karicare 普通装 2段,"<P><IMG src=""images/upload/Image/20140923201836823_82292365.jpg""><IMG src=""images/upload/Image/20140923201836837_70104229.jpg""><IMG src=""images/upload/Image/20140923201836847_61915988.jpg""><IMG src=""images/upload/Image/20140923201836856_26694317.jpg""><IMG src=""images/upload/Image/20140923201836866_55441039.jpg""><IMG src=""images/upload/Image/20140923201836876_53340334.jpg""><IMG src=""images/upload/Image/20140923201836885_12862738.jpg""><IMG src=""images/upload/Image/20140923201836895_45351712.jpg""><IMG src=""images/upload/Image/20140923201836905_81472289.jpg""><IMG src=""images/upload/Image/20140923201836915_17742417.jpg""><IMG src=""images/upload/Image/20140923201836925_94656915.jpg""><IMG src=""images/upload/Image/20140923201836934_93387821.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
可瑞康 Karicare 普通装 3段,ECS000172,纽迪希亚 Nutricia,228,189,1,images/201409/source_img/15_G_14114317197403.jpg,images/201409/goods_img/15_G_14114370895972.jpg,,奶粉 可瑞康 Karicare 普通装 3段,奶粉 可瑞康 Karicare 普通装 3段,"<P><IMG src=""images/upload/Image/20140923202054595_24566289.jpg""><IMG src=""images/upload/Image/20140923202054610_68179982.jpg""><IMG src=""images/upload/Image/20140923202054632_87849776.jpg""><IMG src=""images/upload/Image/20140923202054643_28992867.jpg""><IMG src=""images/upload/Image/20140923202054653_878795.jpg""><IMG src=""images/upload/Image/20140923202054663_48226127.jpg""><IMG src=""images/upload/Image/20140923202054673_62757651.jpg""></P>",0.9,100,1,0,0,0,1,1,1,,,,,
亨氏Heiz 金装1段（4罐包邮）,ECS000173,亨氏 Heinz,186,142,1,images/201409/source_img/16_G_14114321415285.jpg,images/201409/goods_img/16_G_14114301198967.jpg,,奶粉 亨氏 Heiz 金装 1段,奶粉 亨氏 Heiz 金装 1段,"<P><IMG src=""images/upload/Image/20140923202919864_56936651.jpg""><IMG src=""images/upload/Image/20140923202919878_44183159.jpg""><IMG src=""images/upload/Image/20140923202919888_51191278.jpg""><IMG src=""images/upload/Image/20140923202919897_84667471.jpg""><IMG src=""images/upload/Image/20140923202919907_52129086.jpg""><IMG src=""images/upload/Image/20140923202919917_35319573.jpg""><IMG src=""images/upload/Image/20140923202919926_91138627.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
亨氏Heiz 金装2段（4罐包邮）,ECS000174,亨氏 Heinz,186,142,1,images/201409/source_img/17_G_14114354333980.jpg,images/201409/goods_img/17_G_14114347501250.jpg,,奶粉 亨氏 Heiz 金装 2段,奶粉 亨氏 Heiz 金装 2段,"<P><IMG src=""images/upload/Image/20140923204510773_73683612.jpg""><IMG src=""images/upload/Image/20140923204510787_53439560.jpg""><IMG src=""images/upload/Image/20140923204510798_44940103.jpg""><IMG src=""images/upload/Image/20140923204510809_6424831.jpg""><IMG src=""images/upload/Image/20140923204510819_8703479.jpg""><IMG src=""images/upload/Image/20140923204510839_30093571.jpg""><IMG src=""images/upload/Image/20140923204510848_76232388.jpg""><IMG src=""images/upload/Image/20140923204510858_44109809.jpg""><IMG src=""images/upload/Image/20140923204510868_58075977.jpg""></P>",0.9,1,1,0,0,1,1,1,1,,,,,
亨氏Heiz 金装3段（4罐包邮）,ECS000175,亨氏 Heinz,186,142,1,images/201409/source_img/18_G_14114366947387.jpg,images/201409/goods_img/18_G_14114379696427.jpg,,奶粉 亨氏 Heiz 金装 3段,奶粉 亨氏 Heiz 金装 3段,"<P><IMG src=""images/upload/Image/20140923204738221_63476993.jpg""><IMG src=""images/upload/Image/20140923204738236_59527167.jpg""><IMG src=""images/upload/Image/20140923204738247_21616152.jpg""><IMG src=""images/upload/Image/20140923204738258_91300287.jpg""><IMG src=""images/upload/Image/20140923204738268_10139419.jpg""><IMG src=""images/upload/Image/20140923204738278_21760303.jpg""><IMG src=""images/upload/Image/20140923204738287_75955036.jpg""><IMG src=""images/upload/Image/20140923204738303_77216175.jpg""><IMG src=""images/upload/Image/20140923204738314_95821894.jpg""></P>",0.9,1,1,0,0,1,1,1,1,,,,,
亨氏Heiz 金装4段（4罐包邮）,ECS000176,亨氏 Heinz,186,142,1,images/201409/source_img/19_G_14114376506371.JPG,images/201409/goods_img/19_G_14114304834734.jpg,,奶粉 亨氏 Heiz 金装 4段,奶粉 亨氏 Heiz 金装 4段,"<P><IMG src=""images/upload/Image/20140923205124036_54536475.jpg""><IMG src=""images/upload/Image/20140923205124051_38450480.jpg""><IMG src=""images/upload/Image/20140923205124071_65168243.jpg""><IMG src=""images/upload/Image/20140923205124081_43479709.jpg""><IMG src=""images/upload/Image/20140923205124092_75923723.jpg""><IMG src=""images/upload/Image/20140923205124102_35063166.jpg""><IMG src=""images/upload/Image/20140923205124113_64375244.jpg""><IMG src=""images/upload/Image/20140923205124123_84539596.jpg""><IMG src=""images/upload/Image/20140923205124132_22550750.jpg""><IMG src=""images/upload/Image/20140923205124150_10039283.jpg""><IMG src=""images/upload/Image/20140923205124160_69145881.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
可瑞康Karicare羊奶粉1段（六罐包邮）,ECS000177,纽迪希亚 Nutricia,469,305,3,images/201409/source_img/20_G_14114330896752.jpg,images/201409/goods_img/20_G_14114314045782.jpg,,奶粉 可瑞康 Karicare 羊奶粉 1段,奶粉 可瑞康 Karicare 羊奶粉 1段,"<P><IMG src=""images/upload/Image/20140923210209357_37346339.jpg""><IMG src=""images/upload/Image/20140923210209371_24820202.jpg""><IMG src=""images/upload/Image/20140923210209392_13232820.jpg""><IMG src=""images/upload/Image/20140923210209402_27952796.jpg""><IMG src=""images/upload/Image/20140923210209419_92078403.jpg""><IMG src=""images/upload/Image/20140923210209428_639098.jpg""><IMG src=""images/upload/Image/20140923210209438_31087945.jpg""><IMG src=""images/upload/Image/20140923210209448_28038922.jpg""><IMG src=""images/upload/Image/20140923210209458_13347340.jpg""><IMG src=""images/upload/Image/20140923210209468_28067315.jpg""><IMG src=""images/upload/Image/20140923210209477_31183633.jpg""><IMG src=""images/upload/Image/20140923210209486_77178957.jpg""><IMG src=""images/upload/Image/20140923210209494_91001633.jpg""><IMG src=""images/upload/Image/20140923210209502_95787231.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
可瑞康Karicare羊奶粉2段（六罐包邮）,ECS000178,纽迪希亚 Nutricia,469,305,3,images/201409/source_img/21_G_14114373730703.jpg,images/201409/goods_img/21_G_14114373362412.jpg,,奶粉 可瑞康 Karicare 羊奶粉 2段,奶粉 可瑞康 Karicare 羊奶粉 2段,"<P><IMG src=""images/upload/Image/20140923210357956_34922498.jpg""><IMG src=""images/upload/Image/20140923210357970_37709426.jpg""><IMG src=""images/upload/Image/20140923210357980_26870743.jpg""><IMG src=""images/upload/Image/20140923210357990_67565183.jpg""><IMG src=""images/upload/Image/20140923210358006_93397762.jpg""><IMG src=""images/upload/Image/20140923210358016_67590073.jpg""><IMG src=""images/upload/Image/20140923210358026_32972660.jpg""><IMG src=""images/upload/Image/20140923210358035_79943087.jpg""><IMG src=""images/upload/Image/20140923210358046_86418695.jpg""><IMG src=""images/upload/Image/20140923210358055_73656591.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
